[04/Apr/2016:00:54:21] (nt-request) Test message1
[04/Apr/2016:00:54:21] (nt-request) Test message2
[04/Apr/2016:00:54:21] (nt-request) Test message3
[04/Apr/2016:00:54:31] (nt-request) Test message1
[04/Apr/2016:00:54:31] (nt-request) Test message2
[04/Apr/2016:00:54:31] (nt-request) Test message3
[04/Apr/2016:00:54:54] (nt-request) Test message1
[04/Apr/2016:00:54:54] (nt-request) Test message2
[04/Apr/2016:00:54:54] (nt-request) Test message3
04/Apr/2016 10:15:25 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:15:25 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:16:26 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 10:16:26 | ::1 | nt-request | SUCCESS
04/Apr/2016 10:16:29 | ::1 | nt-request | GET h= c=2 a=-q=any
04/Apr/2016 10:16:29 | ::1 | nt-request | ERROR. Request without host
04/Apr/2016 12:39:56 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 12:39:56 | ::1 | nt-request | SUCCESS
04/Apr/2016 12:40:20 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 12:40:20 | ::1 | nt-request | SUCCESS
04/Apr/2016 12:53:54 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 12:53:54 | ::1 | nt-request | SUCCESS
04/Apr/2016 12:55:09 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 12:55:09 | ::1 | nt-request | SUCCESS
04/Apr/2016 12:57:39 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 12:57:39 | ::1 | nt-request | SUCCESS
04/Apr/2016 12:59:26 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 12:59:26 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:00:37 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 13:00:37 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:02:07 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 13:02:07 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:04:45 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 13:04:46 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:05:35 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 13:05:36 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:05:46 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 13:05:46 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:07:25 | ::1 | nt-request | GET h=i.ua c=2 a=-q=any
04/Apr/2016 13:07:25 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:07:27 | ::1 | nt-request | GET h=i.ua c=5 a= -t any
04/Apr/2016 13:07:27 | ::1 | nt-request | SUCCESS
04/Apr/2016 13:07:28 | ::1 | nt-request | GET h=i.ua c=6 a=-p 80
04/Apr/2016 13:07:28 | ::1 | nt-request | SUCCESS
